p_i,p_m,diff_p^(n-2),dp^(n-1),diff_p^(n-1),dp^(n),diff_p^(n),target
1.0,616795.085314568,387512.55086358497,0.4010077078686057,386068.923115258,0.3988446108497252,384633.082516199,0.39671328632416486
1.0,618215.691466709,386068.923115258,0.3988446108497252,384633.082516199,0.39671328632416486,383204.914685432,0.394612820039167
1.0,619628.843855432,384633.082516199,0.39671328632416486,383204.914685432,0.394612820039167,381784.308533291,0.3925423302008292
1.0,621034.647333342,383204.914685432,0.394612820039167,381784.308533291,0.3925423302008292,380371.156144568,0.39050096608611057
1.0,622433.203797578,381784.308533291,0.3925423302008292,380371.156144568,0.39050096608611057,378965.352666658,0.38848790673222133
1.12201845430196,370926.34012803296,0.0,0.0,0.0,0.0,999998.8779815458,103.03478280821629
1.12201845430196,382502.974304746,0.0,0.0,999998.8779815458,103.03478280821629,629073.659871967,3.215731715753629
1.12201845430196,391386.03813849704,999998.8779815458,103.03478280821629,629073.659871967,3.215731715753629,617497.025695254,2.4675177315975048
1.12201845430196,398874.807364085,629073.659871967,3.215731715753629,617497.025695254,2.4675177315975048,608613.961861503,2.080213673774431
1.12201845430196,405472.545498718,617497.025695254,2.4675177315975048,608613.961861503,2.080213673774431,601125.192635915,1.8327050373980536
1.12201845430196,411437.356713202,608613.961861503,2.080213673774431,601125.192635915,1.8327050373980536,594527.454501282,1.6568920040233448
1.12201845430196,416922.56672401103,601125.192635915,1.8327050373980536,594527.454501282,1.6568920040233448,588562.6432867979,1.523669447446947
1.12201845430196,422028.07571751,594527.454501282,1.6568920040233448,588562.6432867979,1.523669447446947,583077.433275989,1.4181969426386059
1.12201845430196,426823.274600137,588562.6432867979,1.523669447446947,583077.433275989,1.4181969426386059,577971.92428249,1.331999689618614
1.12201845430196,431358.686468495,583077.433275989,1.4181969426386059,577971.92428249,1.331999689618614,573176.725399863,1.2598366300994368
1.12201845430196,435672.452179506,577971.92428249,1.331999689618614,573176.725399863,1.2598366300994368,568641.313531505,1.1982682530586155
1.12201845430196,439794.203385013,573176.725399863,1.2598366300994368,568641.313531505,1.1982682530586155,564327.547820494,1.144930890418602
1.12201845430196,443747.504582191,568641.313531505,1.1982682530586155,564327.547820494,1.144930890418602,560205.7966149871,1.0981392214383394
1.12201845430196,447551.461774764,564327.547820494,1.144930890418602,560205.7966149871,1.0981392214383394,556252.495417809,1.0566547757147216
1.12201845430196,451221.82104923297,560205.7966149871,1.0981392214383394,556252.495417809,1.0566547757147216,552448.538225236,1.0195442429080463
