p_i,time,p_m
2.23872113856834,190800,546446.268337419
2.23872113856834,194400,548356.797520677
2.23872113856834,198000,550249.715004607
2.23872113856834,201600,552125.498525752
2.23872113856834,205200,553984.604503363
2.23872113856834,208800,555827.46933272
2.23872113856834,212400,557654.510577892
2.23872113856834,216000,559466.128073295
2.23872113856834,219600,561262.704942399
2.23872113856834,223200,563044.608541069
2.23872113856834,226800,564812.191332247
2.23872113856834,230400,566565.791697972
2.23872113856834,234000,568305.734694158
2.23872113856834,237600,570032.332753009
2.23872113856834,241200,571745.886337451
2.23872113856834,244800,573446.684551568
2.23872113856834,248400,575135.005710634
2.23872113856834,252000,576811.117873989
2.23872113856834,255600,578475.279343732
2.23872113856834,259200,580127.739131904
2.23872113856834,262800,581768.737398607
2.23872113856834,266400,583398.505863292
2.23872113856834,270000,585017.268191235
2.23872113856834,273600,586625.240357063
2.23872113856834,277200,588222.630987013
2.23872113856834,280800,589809.641681478
2.23872113856834,284400,591386.467319264
2.23872113856834,288000,592953.296344843
2.23872113856834,291600,594510.311039801
2.23872113856834,295200,596057.687779583
2.23872113856834,298800,597595.597276529
2.23872113856834,302400,599124.204810127
2.23872113856834,306000,600643.670445345
2.23872113856834,309600,602154.149239816
2.23872113856834,313200,603655.791440602
2.23872113856834,316800,605148.742671209
2.23872113856834,320400,606633.144109463
2.23872113856834,324000,608109.132656821
2.23872113856834,327600,609576.841099645
2.23872113856834,331200,611036.398262921
2.23872113856834,334800,612487.929156883
2.23872113856834,338400,613931.555116956
2.23872113856834,342000,615367.393937407
2.23872113856834,345600,616795.55999907
2.23872113856834,349200,618216.164391475
2.23872113856834,352800,619629.315029695
2.23872113856834,356400,621035.116766205
2.23872113856834,360000,622433.671498018
2.51188643150958,3600,370927.214458349
2.51188643150958,7200,382503.832545051
2.51188643150958,10800,391386.884032502
2.51188643150958,14400,398875.642849678
2.51188643150958,18000,405473.371814316
2.51188643150958,21600,411438.17473849
2.51188643150958,25200,416923.377125573
2.51188643150958,28800,422028.879023081
